epoch,bce,kld,total
385,962.543243,85.454493,1047.997736
386,961.90234,85.337662,1047.240002
387,961.399425,85.328847,1046.728272
388,961.13308,85.582237,1046.715317
389,961.549694,85.519246,1047.068939
390,961.207569,85.547607,1046.755176
391,961.586243,85.34599,1046.932233
392,960.912647,85.364436,1046.277083
393,963.008204,85.437129,1048.445333
394,962.137876,85.35257,1047.490447
395,962.687632,85.258832,1047.946465
396,961.380514,84.883531,1046.264045
397,960.335306,85.478334,1045.813641
398,960.071817,85.462855,1045.534672
399,960.476127,85.472013,1045.94814
400,960.340593,85.489531,1045.830124
401,959.507733,85.544062,1045.051795
402,959.398835,85.164636,1044.563471
403,960.302903,85.615212,1045.918115
404,959.997991,85.450144,1045.448136
405,959.533396,85.396082,1044.929478
406,959.103262,85.286781,1044.390044
407,958.937458,85.468126,1044.405584
408,959.856752,85.316036,1045.172787
409,958.923718,85.656591,1044.58031
410,959.934585,85.295899,1045.230484
411,961.070629,85.512695,1046.583324
412,960.258329,85.286345,1045.544673
413,959.305432,85.024963,1044.330395
414,963.942194,85.30219,1049.244384
415,959.650436,85.074002,1044.724438
416,957.550207,85.40907,1042.959276
417,957.895094,85.512384,1043.407478
418,957.674435,85.398967,1043.073403
419,957.321469,85.387072,1042.708541
420,956.257165,85.403513,1041.660678
421,956.401808,85.230133,1041.631941
422,957.409172,85.464877,1042.87405
423,957.166162,85.548093,1042.714255
424,956.873436,85.496279,1042.369715
425,956.710866,85.39449,1042.105356
426,956.112447,85.308004,1041.420451
427,955.31073,85.504412,1040.815143
428,955.888746,85.588106,1041.476852
429,956.741792,85.333594,1042.075387
430,959.211511,85.389875,1044.601386
431,956.995989,85.584815,1042.580804
432,956.147203,85.389375,1041.536578
433,956.996172,85.590714,1042.586886
434,956.194514,85.341632,1041.536146
435,956.627413,85.367532,1041.994945
436,955.902426,85.515985,1041.418411
437,955.330407,85.497179,1040.827586
438,954.662332,85.464431,1040.126763
439,954.608381,85.515796,1040.124177
440,954.768948,85.496513,1040.265461
441,955.053874,85.566643,1040.620517
442,955.144599,85.54541,1040.69001
443,955.4148,85.572864,1040.987664
444,955.207284,85.613279,1040.820563
445,955.71198,85.714042,1041.426022
446,957.11963,85.465811,1042.585441
447,956.519742,85.616168,1042.135911
448,954.954444,85.680233,1040.634677
449,954.100493,85.258597,1039.359089
450,954.234109,85.556891,1039.791001
451,956.376094,85.49594,1041.872034
452,954.135161,85.731622,1039.866783
453,954.946394,85.325921,1040.272315
454,953.737605,85.452458,1039.190063
455,954.666988,85.545181,1040.212168
456,954.58157,85.511848,1040.093418
457,953.521207,85.69402,1039.215227
458,953.899981,85.207305,1039.107286
459,954.504843,85.322542,1039.827385
460,952.936225,85.735644,1038.671869
461,953.470011,85.621033,1039.091044
462,953.218935,85.430035,1038.648971
463,953.706657,85.65117,1039.357827
464,953.342489,85.472571,1038.815061
465,952.794644,85.492655,1038.287299
466,951.810059,85.336812,1037.146871
467,952.452509,85.533254,1037.985762
468,952.829119,85.446655,1038.275775
469,952.511796,85.602752,1038.114547
470,953.090369,85.43377,1038.52414
471,952.636418,85.561244,1038.197662
472,952.853105,85.628091,1038.481196
473,952.348956,85.656182,1038.005138
474,952.145609,85.577772,1037.723381
475,951.305331,85.44937,1036.754701
476,951.982847,85.792934,1037.77578
477,951.954551,85.652435,1037.606986
478,951.99893,85.535768,1037.534699
479,951.119745,85.309398,1036.429143
480,951.174606,85.472816,1036.647422
481,952.219715,85.667488,1037.887203
482,951.760782,85.531335,1037.292117
483,951.669417,85.42766,1037.097076
484,950.980913,85.53094,1036.511853
485,951.01608,85.491282,1036.507362
486,952.06209,85.551468,1037.613558
487,951.811982,85.542763,1037.354745
488,951.840299,85.581858,1037.422156
489,950.829026,85.423935,1036.252961
490,950.829756,85.379495,1036.209251
491,950.329061,85.543484,1035.872545
492,950.251808,85.49786,1035.749668
493,950.016213,85.449038,1035.465252
494,949.58923,85.92866,1035.51789
495,949.794035,85.554662,1035.348697
496,950.363538,85.471135,1035.834674
497,950.256283,85.486374,1035.742658
498,950.609221,85.430488,1036.039709
499,950.720673,85.585312,1036.305985
500,950.405796,85.680405,1036.086202
501,949.466517,85.427757,1034.894274
502,950.893913,85.563592,1036.457505
503,951.577618,85.77044,1037.348058
504,949.540453,85.705873,1035.246326
505,949.648206,85.614151,1035.262357
506,950.875432,85.501334,1036.376765
507,950.220073,85.637888,1035.857961
508,953.094353,85.434291,1038.528644
509,950.80334,85.686652,1036.489993
510,949.664079,85.535159,1035.199238
511,949.054942,85.696544,1034.751486
512,948.908592,85.706547,1034.61514
513,948.99163,85.541834,1034.533464
514,949.643506,85.538689,1035.182195
515,949.100665,85.596029,1034.696694
516,949.712249,85.656442,1035.368692
517,947.972198,85.709465,1033.681662
518,948.244256,85.467169,1033.711425
519,949.192414,85.769919,1034.962333
520,949.720305,85.721692,1035.441997
521,948.830275,85.59426,1034.424534
522,947.893795,85.613916,1033.507711
523,948.137789,85.685341,1033.82313
524,947.102577,85.472836,1032.575413
525,946.774929,85.545493,1032.320422
526,947.201923,85.640131,1032.842054
527,948.015141,85.688387,1033.703528
528,948.435982,85.918635,1034.354617
529,952.247524,85.557099,1037.804622
530,948.777755,85.776937,1034.554692
531,947.135076,85.846776,1032.981852
532,946.295271,85.655272,1031.950542
533,947.49432,85.619266,1033.113587
534,947.666924,85.521682,1033.188606
535,947.566247,85.47619,1033.042437
536,947.622046,85.751041,1033.373087
537,947.747423,85.686768,1033.434191
538,946.882082,85.673297,1032.55538
539,947.410747,85.875594,1033.286341
540,946.884585,85.638658,1032.523243
541,946.216372,85.704527,1031.920899
